Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2023,Fall,2023-fa,FIN,589,Applied Portfolio Management,LCD,0,4,19,8,5,2,0,0,0,0,0,0,0,0,38,"Excell, Richard O"
2023,Fall,2023-fa,FR,156,Exploring Paris,LCD,0,96,21,9,3,1,1,0,1,0,0,0,1,0,133,"Reynolds, Felisa V"
2023,Fall,2023-fa,FSHN,101,The Science of Food,LEC,2,34,6,4,8,0,1,0,0,0,0,1,0,1,56,"Schmidt, Shelly J"
2023,Fall,2023-fa,FSHN,101,The Science of Food,OLC,5,30,0,0,7,0,0,0,0,0,1,0,1,1,44,"Gist, Toni M"
2023,Fall,2023-fa,FSHN,101,The Science of Food,ONL,3,159,0,0,18,0,0,13,0,0,2,0,4,0,199,"Gist, Toni M"
2023,Fall,2023-fa,FSHN,120,Contemporary Nutrition,LCD,68,274,0,0,49,0,0,13,0,0,5,0,7,0,416,"Gist, Toni M"
2023,Fall,2023-fa,FSHN,120,Contemporary Nutrition,ONL,31,396,0,0,83,0,0,19,0,0,3,0,6,1,538,"Gist, Toni M"
2023,Fall,2023-fa,FSHN,140,Introduction to Hospitality,LCD,9,5,1,4,4,0,2,0,2,0,0,1,0,1,28,"Craft, Jill N"
2023,Fall,2023-fa,FSHN,150,Introduction to Dietetics,LEC,0,28,0,0,3,0,0,1,0,0,0,0,1,0,33,"Karduck, Justine M"
2023,Fall,2023-fa,FSHN,175,Science of Fermented Foods,ONL,4,24,11,2,6,2,2,0,0,0,0,0,2,0,53,"Miller, Michael J"
2023,Fall,2023-fa,FSHN,193,Edible Entrepreneurialism,ONL,3,22,0,0,1,1,0,1,0,0,0,0,0,0,28,"Bohn, Dawn M"
2023,Fall,2023-fa,FSHN,199,FSHN Orientation Seminar,LEC,39,16,0,0,1,0,0,2,0,0,0,0,0,1,58,"Coppess, Susan M"
2023,Fall,2023-fa,FSHN,220,Principles of Nutrition,LEC,1,36,0,0,9,0,0,4,0,0,0,0,0,0,50,"Helferich, William G"
2023,Fall,2023-fa,FSHN,231,Food Systems Cacao & Chocolate,LCD,0,32,0,0,1,0,0,0,0,0,0,0,0,0,33,"Engeseth, Nicki J"
2023,Fall,2023-fa,FSHN,232,Science of Food Preparation,OLC,2,7,5,6,4,1,3,0,1,0,0,0,0,0,29,"Craft, Jill N"
2023,Fall,2023-fa,FSHN,249,Food Service Sanitation,ONL,0,27,0,0,0,0,0,0,0,0,0,0,1,0,28,"Craft, Jill N"
2023,Fall,2023-fa,FSHN,302,Sensory Evaluation of Foods,LEC,0,30,0,0,3,0,0,0,0,0,0,0,0,0,33,"Madson, Jessica A"
2023,Fall,2023-fa,FSHN,343,Foundations in Beverage Mgmt,LEC,60,127,18,13,4,1,1,0,0,0,0,0,1,0,225,"Brotherton, Jorden M"
2023,Fall,2023-fa,FSHN,345,Strategic Operations Mgmt,LEC,0,50,0,0,1,0,0,0,0,0,0,0,0,0,51,"Madson, Jessica A"
2023,Fall,2023-fa,FSHN,414,Food Chemistry,LEC,2,37,0,3,4,2,0,1,0,0,0,0,0,0,49,"Engeseth, Nicki J"
2023,Fall,2023-fa,FSHN,416,Food Chemistry Laboratory,LEC,8,1,9,6,2,3,0,0,0,0,0,0,0,0,29,"Demejia, Elvira"
2023,Fall,2023-fa,FSHN,420,Nutritional Aspects of Disease,OLC,1,33,2,5,3,0,0,0,0,0,0,0,1,0,45,"Holscher, Hannah D"
2023,Fall,2023-fa,FSHN,422,Intro Personalized Nutrition,ONL,0,51,0,0,7,0,0,1,0,0,0,0,0,0,59,"Pan, Yuan-Xiang"
2023,Fall,2023-fa,FSHN,426,Biochemical Nutrition I,ONL,12,10,11,4,10,3,0,2,0,0,0,0,0,1,52,"Pan, Yuan-Xiang"
2023,Fall,2023-fa,FSHN,428,Community Nutrition,LEC,9,10,11,2,1,0,0,1,0,0,0,0,0,0,34,"Hodge, Krystal L"
2023,Fall,2023-fa,FSHN,450,Dietetics: Professional Issues,LEC,16,3,1,2,0,0,0,0,0,0,0,0,0,0,22,"Karduck, Justine M"
2023,Fall,2023-fa,FSHN,460,Food Processing Engineering,OLC,17,15,1,1,1,0,0,0,0,0,0,0,0,0,35,"Wang, Yi-Cheng"
2023,Fall,2023-fa,FSHN,483,Food Processing Unit Ops II,ONL,0,21,4,8,6,4,1,1,2,0,0,0,1,0,48,"Ozturk, Oguz Kaan"
2023,Fall,2023-fa,FSHN,514,Advanced Food Chemistry,ONL,0,22,0,1,0,1,0,0,0,0,0,0,0,0,24,"Bohn, Dawn M"
2023,Fall,2023-fa,GEOL,100,Planet Earth,ONL,39,28,17,11,12,7,3,3,4,1,2,1,22,1,150,"Cole, Todd M"
2023,Fall,2023-fa,GEOL,104,Geology of the National Parks,ONL,23,43,13,8,3,1,3,2,0,1,0,0,1,0,98,"Pettijohn, Justin C"
2023,Fall,2023-fa,GEOL,111,Emergence of Life,ONL,6,10,7,4,4,3,3,1,2,1,2,0,10,0,53,"Cole, Todd M"
2023,Fall,2023-fa,GEOL,117,The Oceans,ONL,20,47,13,7,8,1,0,1,1,3,6,3,5,1,115,"Pettijohn, Justin C"
2023,Fall,2023-fa,GEOL,118,Natural Disasters,LEC,30,24,19,14,12,10,7,3,3,2,3,0,4,0,131,"Johnson, Thomas M"
2023,Fall,2023-fa,GEOL,143,History of Life,LAB,10,6,0,3,3,0,0,0,0,0,1,0,0,0,23,"Huffaker, Jacob W"
2023,Fall,2023-fa,GEOL,484,Paleoclimatology,LEC,0,13,4,2,1,0,1,1,0,0,0,0,0,0,22,"Conroy, Jessica"
2023,Fall,2023-fa,GER,251,Grimm's Fairy Tales in Context,DIS,3,11,4,3,2,3,0,2,0,0,0,0,2,1,30,"Cohen, Jared E"
2023,Fall,2023-fa,GER,251,Grimm's Fairy Tales in Context,DIS,6,7,6,3,4,2,2,1,1,0,1,0,0,0,33,"Cohen, Jared E"
2023,Fall,2023-fa,GER,251,Grimm's Fairy Tales in Context,DIS,12,5,3,1,5,2,0,1,0,0,0,0,1,0,30,"Cohen, Jared E"
2023,Fall,2023-fa,GGIS,101,Global Development&Environment,ONL,166,119,8,8,14,3,1,0,1,1,4,0,7,1,332,"Butcher, Sian C"
2023,Fall,2023-fa,GGIS,103,Earth's Physical Systems,LEC,6,13,1,0,1,1,1,3,0,1,1,0,0,0,28,"Shukla, Tanya"
2023,Fall,2023-fa,GGIS,104,Social and Cultural Geography,LEC,11,3,2,0,3,1,1,0,2,0,0,0,2,0,25,"Pierce, Colt A"
2023,Fall,2023-fa,GGIS,204,Cities of the World,LCD,2,40,20,5,6,1,3,3,0,1,0,0,1,1,82,"Cidell, Julie L"
2023,Fall,2023-fa,GGIS,210,Social & Environmental Issues,LEC,41,7,1,0,0,1,0,2,0,0,0,0,2,0,54,"Alvarado, Nikolai A"
2023,Fall,2023-fa,GGIS,221,Geographies of Global Conflict,LEC,0,33,2,1,2,1,0,0,0,0,0,0,0,0,39,"Jefferson, Brian J"
2023,Fall,2023-fa,GGIS,371,Spatial Analysis,LBD,0,9,5,3,3,1,1,3,0,0,0,0,0,0,25,"Minn, Michael J"
2023,Fall,2023-fa,GGIS,379,Introduction to GIS,LEC,0,15,16,11,14,2,3,4,0,0,3,0,0,0,68,"Minn, Michael J"
2023,Fall,2023-fa,GGIS,407,CyberGIS & Geospatial Data Sci,ONL,3,17,3,2,0,0,0,0,0,0,0,0,0,0,25,"Padmanabhan, Anand"
2023,Fall,2023-fa,GGIS,473,Digital Cartography & Map Dsgn,LCD,0,18,3,3,0,0,0,2,0,0,0,0,0,0,26,"Portelli, Raechel A"
2023,Fall,2023-fa,GGIS,477,Introduction to Remote Sensing,LBD,0,12,6,5,0,1,0,1,0,0,1,0,0,0,26,"Diao, Chunyuan"
2023,Fall,2023-fa,GLBL,100,Intro to Global Studies,LCD,5,18,2,1,1,2,0,0,0,0,0,0,0,0,29,"Holmes, Joshua S"
2023,Fall,2023-fa,GLBL,100,Intro to Global Studies,LCD,16,2,4,0,0,0,1,1,1,0,0,0,1,0,26,"Wedig, Timothy E"
2023,Fall,2023-fa,GLBL,100,Intro to Global Studies,LCD,12,10,0,0,1,0,0,0,0,0,0,1,1,0,25,"Schrag, David M"
2023,Fall,2023-fa,GLBL,100,Intro to Global Studies,LCD,0,11,6,4,4,0,0,1,0,0,1,0,2,0,29,"Yoo, Ji Soo"
2023,Fall,2023-fa,GLBL,100,Intro to Global Studies,LCD,4,18,3,3,0,1,0,0,0,0,0,0,0,0,29,"Holmes, Joshua S"
2023,Fall,2023-fa,GLBL,130,Resistance Movements,ONL,13,4,3,1,1,0,1,0,0,1,0,1,0,0,25,"Bonatti, Valeria"
2023,Fall,2023-fa,GLBL,240,Global Health,ONL,21,23,3,1,1,0,1,0,0,1,0,1,0,2,52,"Bonatti, Valeria"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,37,2,0,1,0,1,3,1,0,1,0,0,1,0,47,"Lipscomb, Dionne S"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,30,6,5,2,2,0,0,0,1,0,0,0,0,0,46,"Shumway, Trent A"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,27,11,2,0,1,1,1,1,0,1,0,0,0,0,45,"Kirby, Emma N"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,19,19,1,2,3,0,0,0,0,0,0,0,1,1,45,"Sandler, Chaya S"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,32,3,3,0,2,1,0,2,0,0,1,0,1,0,45,"Faulkner, Aric E"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,33,5,1,3,2,2,0,0,0,0,0,0,0,0,46,"Gutwein, Calen A"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,27,7,6,1,1,0,0,0,2,0,0,0,2,0,46,"Verhelst, Christina T"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,29,7,3,1,2,1,0,2,1,0,0,0,0,0,46,"Gay, Lucy C"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,27,8,4,0,1,3,1,1,1,0,0,0,0,0,46,"Shattuck, Dustin R"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,26,7,6,2,2,0,0,0,0,1,0,1,0,0,45,"Gay, Lucy C"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,23,12,5,0,3,2,0,0,0,0,0,0,1,0,46,"Stengel, Lauren E"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,25,4,4,6,2,2,1,2,0,0,0,0,0,0,46,"Pritchard, William L"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,21,8,3,4,1,3,2,2,2,0,0,0,0,0,46,"Kirby, Emma N"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,36,0,1,2,1,0,1,1,0,2,0,0,2,0,46,"Pritchard, William L"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,38,5,1,1,0,0,0,0,0,0,0,0,1,0,46,"Lipscomb, Dionne S"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,26,9,4,2,2,0,1,1,1,0,1,0,0,0,47,"Shattuck, Dustin R"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,25,7,5,0,2,1,1,1,1,0,0,0,3,0,46,"Stengel, Lauren E"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,21,7,2,4,7,0,1,0,1,1,1,0,0,0,45,"Verhelst, Christina T"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,28,8,6,0,2,1,0,0,1,0,0,0,0,0,46,"Puente, Sylvia"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,20,12,3,1,3,2,0,1,0,1,0,0,2,0,45,"Puente, Sylvia"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,19,10,6,0,4,1,0,0,1,0,0,0,4,0,45,"Singleton, Jasmine N"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,23,13,6,0,1,0,0,1,2,0,0,0,0,0,46,"Singleton, Jasmine N"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,22,9,4,2,1,1,0,1,0,0,0,0,0,0,40,"Gutwein, Calen A"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,28,7,1,0,3,0,1,0,0,0,1,0,0,0,41,"Faulkner, Aric E"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,76,31,9,1,1,1,0,0,0,0,0,0,0,0,119,"Smothers, Sarah A"
2023,Fall,2023-fa,GS,101,Exploring General Studies,LCD,21,9,5,2,0,1,2,0,1,0,0,0,0,0,41,"Hollenbeck, Sierra"
2023,Fall,2023-fa,GSD,101,Intro to Game Studies & Design,OLC,0,64,9,1,1,0,1,2,0,1,2,0,0,0,81,"Kim, Alexis N"
2023,Fall,2023-fa,GSD,102,Intro to Videogame Industry,LEC,31,3,2,3,4,0,0,2,0,0,1,0,0,0,46,"Scott, Jason J"
2023,Fall,2023-fa,GSD,403,Top Down Video Game Design,LCD,0,28,3,1,2,0,0,0,0,0,0,0,1,0,35,"Cermak, Daniel"
2023,Fall,2023-fa,GWS,100,Intro Gender & Women's Studies,DIS,11,10,0,1,1,0,0,0,0,0,0,0,1,0,24,"Turner, Robin S"
2023,Fall,2023-fa,GWS,100,Intro Gender & Women's Studies,DIS,12,11,0,1,0,0,0,0,0,0,0,0,0,0,24,"Turner, Robin S"
2023,Fall,2023-fa,GWS,100,Intro Gender & Women's Studies,OD,2,11,2,2,1,0,1,0,2,0,1,0,0,0,22,"Rijo Sanchez, Amaury J"
2023,Fall,2023-fa,GWS,100,Intro Gender & Women's Studies,OD,7,5,5,2,0,1,1,2,0,0,0,0,0,1,23,"Rijo Sanchez, Amaury J"
2023,Fall,2023-fa,GWS,201,"Race, Gender & Power",LCD,12,21,1,1,4,0,0,2,0,0,0,0,2,0,43,"Vergara Bracamo, Damian"
2023,Fall,2023-fa,GWS,355,Beauty and Culture,LCD,9,8,3,5,1,3,1,0,0,0,0,0,0,0,30,"Ibaorimi, Zalika U"
2023,Fall,2023-fa,GWS,366,Feminist Disability Studies,LCD,4,12,1,1,4,0,0,0,0,0,0,0,0,0,22,"Beauchamp, Toby C"
2023,Fall,2023-fa,GWS,370,Queer Theory,LCD,8,11,0,1,6,1,1,0,0,0,0,0,2,0,30,"Henningsen, Kadin J"
2023,Fall,2023-fa,GWS,395,Gender and Human Rights,LCD,5,4,3,1,5,1,1,0,1,0,1,0,0,0,22,"Khan, Mahruq F"
2023,Fall,2023-fa,HDFS,101,"Opportunities, Careers in HDFS",LCD,0,21,0,0,5,0,0,1,0,0,0,0,2,0,29,"Mitchell, Elissa T"
2023,Fall,2023-fa,HDFS,101,"Opportunities, Careers in HDFS",LCD,0,19,0,0,1,0,0,3,0,0,1,0,0,0,24,"Anderson, Barbara R"
2023,Fall,2023-fa,HDFS,105,Intro to Human Development,LEC,1,227,1,0,23,1,0,5,0,2,0,0,2,1,262,"Brooks, Jan D"
2023,Fall,2023-fa,HDFS,105,Intro to Human Development,ONL,42,15,7,2,1,2,4,0,0,0,1,0,0,0,74,"Billington, Alyssa G"
2023,Fall,2023-fa,HDFS,105,Intro to Human Development,ONL,51,20,6,11,3,1,1,0,2,0,1,0,2,0,98,"Theisen-Raub, Jaclyn C"
2023,Fall,2023-fa,HDFS,108,Grief/Loss Across the Lifespan,LCD,22,20,6,4,0,2,0,0,0,0,0,0,0,0,54,"Hurth, Emily S"
2023,Fall,2023-fa,HDFS,120,Intro to Family Studies,LEC,7,34,22,7,22,10,8,4,1,2,2,1,2,1,122,"Smith, Sharde"
2023,Fall,2023-fa,HDFS,208,Child and Family Inclusion,LCD,6,49,0,2,2,0,0,0,0,0,2,0,0,0,61,"Brooks, Jan D"
2023,Fall,2023-fa,HDFS,220,Families in Global Perspective,OLC,0,44,34,12,3,3,5,2,0,0,0,0,0,0,103,"Abney, Kate C"
2023,Fall,2023-fa,HDFS,225,Close Relationships,LCD,8,16,7,7,3,0,2,1,0,0,0,0,0,0,44,"Ogolsky, Brian G"
2023,Fall,2023-fa,HDFS,290,Intro to Research Methods,LCD,3,4,6,6,6,2,2,2,5,2,0,0,0,1,38,"Ju, Sehyun"
2023,Fall,2023-fa,HDFS,301,Infancy & Early Childhood,LEC,0,19,5,7,7,4,3,0,1,0,1,0,0,2,47,"McBride, Brent A"
2023,Fall,2023-fa,HDFS,310,Adult Development,LEC,1,22,7,8,4,1,1,0,1,0,1,0,1,0,47,"Mitchell, Elissa T"
2023,Fall,2023-fa,HDFS,320,Families and the Law,LEC,24,11,4,1,3,1,0,1,0,0,0,0,0,0,45,"Hardesty, Jennifer L"
2023,Fall,2023-fa,HDFS,330,Statistics for Everyday Life,LEC,7,7,10,1,3,1,0,0,0,0,0,0,1,0,30,"Lleras, Christy L"
2023,Fall,2023-fa,HDFS,340,"Gender, Relationshps & Society",LEC,20,14,3,2,2,1,2,1,0,0,0,0,0,1,45,"Rivas-Koehl, Matthew"
2023,Fall,2023-fa,HDFS,379,Learning Exp South Africa,LCD,0,22,0,0,0,0,0,0,1,0,0,0,0,0,23,"Brooks, Jan D"
2023,Fall,2023-fa,HDFS,401,Socialization and Development,LEC,4,33,0,0,10,0,0,3,0,0,0,1,0,0,51,"Freeman Bost, Kelly K"
2023,Fall,2023-fa,HDFS,405,Adolescent Development,LCD,22,18,6,3,1,2,2,0,1,0,1,0,0,0,56,"Tu, Kelly M"
2023,Fall,2023-fa,HDFS,408,Hospitalized Children,LCD,10,26,7,6,2,1,0,0,0,0,1,0,0,0,53,"Hurth, Emily S"
2023,Fall,2023-fa,HDFS,425,Family Stress and Change,LEC,12,25,8,3,4,2,2,1,1,0,0,0,0,0,58,"Smith, Sharde"
2023,Fall,2023-fa,HIST,100,Global History,ONL,5,10,6,1,0,4,1,0,1,0,1,0,2,0,31,"van der Velde, Adrian T"
2023,Fall,2023-fa,HIST,100,Global History,DIS,2,14,5,2,0,0,0,0,0,0,0,0,0,0,23,"Kumasenu, George X"
2023,Fall,2023-fa,HIST,100,Global History,DIS,8,5,1,2,2,1,1,1,0,0,1,0,0,0,22,"Coskun, Noyan"
2023,Fall,2023-fa,HIST,100,Global History,DIS,6,7,5,2,3,0,0,0,0,0,0,0,1,0,24,"Coskun, Noyan"
2023,Fall,2023-fa,HIST,100,Global History,DIS,0,13,2,7,0,1,0,0,0,0,0,0,0,0,23,"Alli, Ganiyat A"
2023,Fall,2023-fa,HIST,100,Global History,DIS,2,14,3,2,2,0,0,0,1,0,0,0,0,0,24,"Mandala, Ruth V"
2023,Fall,2023-fa,HIST,100,Global History,DIS,11,7,1,1,0,0,1,0,0,0,0,0,1,0,22,"Coskun, Noyan"
2023,Fall,2023-fa,HIST,100,Global History,DIS,2,9,6,3,2,0,1,0,0,0,0,0,0,0,23,"Kumasenu, George X"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,1,5,9,4,2,3,1,0,0,0,0,0,0,0,25,"Vucicevic, Damir"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,1,3,8,4,4,2,1,0,1,0,0,0,0,0,24,"Vucicevic, Damir"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,0,5,4,5,7,0,0,2,0,1,0,0,1,0,25,"Stec, Andrew J"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,2,5,6,6,2,1,0,0,0,0,0,0,0,0,22,"Eberhardt, Grace M"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,3,4,4,6,3,0,2,0,0,0,0,0,0,0,22,"Eberhardt, Grace M"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,0,2,9,1,6,2,0,4,0,0,0,0,0,0,24,"Stec, Andrew J"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,2,4,3,7,4,4,0,0,0,0,0,0,0,0,24,"Stec, Andrew J"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,2,4,6,6,2,2,0,0,0,0,0,0,0,0,22,"Vucicevic, Damir"
2023,Fall,2023-fa,HIST,103,History of Everything,DIS,2,4,8,2,5,2,0,0,0,0,0,0,0,0,23,"Eberhardt, Grace M"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,6,14,0,2,1,0,0,0,1,0,0,0,0,0,24,"Kelley, Kurtis J"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,9,7,2,2,0,1,1,0,0,1,0,0,0,0,23,"Abosch, Elizabeth A"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,6,14,0,4,0,0,0,0,0,0,1,0,0,0,25,"Kelley, Kurtis J"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,4,7,1,2,4,1,0,1,0,1,0,0,2,1,23,"Abosch, Elizabeth A"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,18,4,0,0,1,0,0,0,0,0,0,0,1,0,24,"Rodriguez, Daniel A"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,11,9,1,1,0,1,0,0,0,0,0,0,0,0,23,"Abosch, Elizabeth A"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,6,11,2,2,0,0,0,0,2,0,0,0,1,0,24,"Kelley, Kurtis J"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,3,10,7,3,1,1,0,0,0,0,0,0,0,0,25,"Rodriguez, Daniel A"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,6,10,0,2,0,2,0,2,0,0,0,0,0,0,22,"Abosch, Elizabeth A"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,5,9,4,2,1,1,0,0,0,0,1,0,1,0,24,"Kelley, Kurtis J"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,6,8,3,2,4,1,0,1,0,0,0,0,0,0,25,"Rodriguez, Daniel A"
2023,Fall,2023-fa,HIST,104,Black Music,DIS,9,9,2,1,1,0,0,1,1,0,0,0,0,0,24,"Rodriguez, Daniel A"
2023,Fall,2023-fa,HIST,120,East Asian Civilizations,DIS,2,9,3,1,3,0,0,1,0,0,0,0,2,0,21,"Jiang, Yuwei"
2023,Fall,2023-fa,HIST,120,East Asian Civilizations,DIS,1,10,3,2,3,0,1,1,0,0,1,0,0,0,22,"Jiang, Yuwei"
2023,Fall,2023-fa,HIST,120,East Asian Civilizations,DIS,1,13,1,2,5,1,0,1,0,0,0,0,0,0,24,"Jiang, Yuwei"
2023,Fall,2023-fa,HIST,141,Western Worlds: Ancient & Mdvl,DIS,2,5,2,4,3,5,1,0,0,0,0,0,1,0,23,"Eagle, Jennie"
2023,Fall,2023-fa,HIST,141,Western Worlds: Ancient & Mdvl,DIS,0,3,4,5,5,2,3,1,0,0,0,0,1,0,24,"Eagle, Jennie"
2023,Fall,2023-fa,HIST,141,Western Worlds: Ancient & Mdvl,DIS,0,4,3,7,3,4,1,0,0,0,0,0,0,0,22,"Eagle, Jennie"
2023,Fall,2023-fa,HIST,164,The Automobile,ONL,0,15,14,3,3,0,0,0,0,0,1,0,4,1,40,"Jaimes, Marco"
2023,Fall,2023-fa,HIST,171,US History to 1877,DIS,1,1,10,5,6,0,1,0,0,0,0,0,0,0,24,"Wallis, Benjamin"
2023,Fall,2023-fa,HIST,171,US History to 1877,DIS,0,0,7,3,2,3,1,3,0,0,0,0,2,1,21,"Runnels, Nathan"
2023,Fall,2023-fa,HIST,171,US History to 1877,DIS,1,1,7,4,2,5,2,0,1,1,0,0,0,0,24,"Wallis, Benjamin"
2023,Fall,2023-fa,HIST,171,US History to 1877,DIS,4,3,4,3,6,1,0,0,1,0,0,1,2,0,25,"Runnels, Nathan"
2023,Fall,2023-fa,HIST,171,US History to 1877,DIS,2,4,5,5,2,4,0,0,0,0,0,0,0,0,22,"Runnels, Nathan"
2023,Fall,2023-fa,HIST,199,HIST at IL and You,LCD,39,20,10,0,3,5,0,1,2,0,0,0,3,0,83,"Parrella, Chloe"
2023,Fall,2023-fa,HIST,220,Traditional China,LCD,1,5,2,7,3,6,6,2,1,0,0,0,1,0,34,"Chow, Kai-Wing"
2023,Fall,2023-fa,HIST,221,Modern China,LEC,10,16,3,2,0,0,1,0,0,0,0,0,0,0,32,"Liu, Lingyan"
2023,Fall,2023-fa,HIST,258,20thC World to Midcentury,LCD,2,14,8,15,4,3,1,0,0,0,0,1,0,0,48,"Chaplin, Tamara E"
2023,Fall,2023-fa,HIST,275,Afro-American History to 1877,LCD,7,15,7,4,1,3,2,2,0,0,0,0,1,0,42,"Hogarth, Rana"
2023,Fall,2023-fa,HIST,277,Encounters in Native America,LCD,9,5,9,1,6,4,3,2,2,0,1,0,1,0,43,"Beck, David R"
2023,Fall,2023-fa,HIST,281,Constructing Race in America,DIS,5,14,2,3,0,0,0,0,0,0,0,0,0,0,24,"Bozzi Feijo, Brunna"
2023,Fall,2023-fa,HIST,281,Constructing Race in America,DIS,7,7,3,2,2,0,0,1,0,0,0,0,2,0,24,"Garcia Rojas, Margarita"
2023,Fall,2023-fa,HIST,281,Constructing Race in America,DIS,4,16,0,0,1,0,0,0,0,1,0,0,1,0,23,"Bozzi Feijo, Brunna"
2023,Fall,2023-fa,HIST,281,Constructing Race in America,DIS,5,11,4,0,0,1,0,1,0,0,0,0,0,0,22,"Garcia Rojas, Margarita"
2023,Fall,2023-fa,HIST,281,Constructing Race in America,DIS,9,10,2,0,2,0,0,0,0,0,0,0,0,0,23,"Vitale, Stephen T"
2023,Fall,2023-fa,HIST,281,Constructing Race in America,DIS,5,13,1,1,2,0,0,2,0,0,0,0,0,0,24,"Garcia Rojas, Margarita"
2023,Fall,2023-fa,HIST,281,Constructing Race in America,DIS,3,18,0,0,0,0,0,0,0,0,0,1,0,0,22,"Bozzi Feijo, Brunna"
2023,Fall,2023-fa,HIST,281,Constructing Race in America,DIS,6,14,1,0,0,0,2,0,1,0,0,0,0,0,24,"Vitale, Stephen T"
2023,Fall,2023-fa,HIST,300,Topics in Film and History,LCD,1,8,7,4,3,1,2,0,1,0,0,0,2,0,29,"Sepkoski, David C"
2023,Fall,2023-fa,HIST,307,History of Mexico from 1519,LCD,1,16,6,2,2,1,0,0,1,0,0,0,0,0,29,"Brosseder, Claudia R"
2023,Fall,2023-fa,HIST,311,Global History of Intelligence,LCD,1,7,11,3,1,0,1,0,1,0,0,1,0,0,26,"Brennan, James R"
2023,Fall,2023-fa,HIST,335,Middle East 1566-1914,LCD,5,11,4,3,1,0,0,0,0,0,0,0,2,1,26,"Goffman, Laura F"
2023,Fall,2023-fa,HIST,347,Protestant & Catholic Refs,LCD,0,7,3,5,5,2,0,0,1,0,1,1,0,1,25,"Koslofsky, Craig M"
2023,Fall,2023-fa,HIST,349,"Age of Revolution, 1775-1815",LCD,1,10,5,3,4,0,0,2,0,0,1,0,4,0,30,"Hein, Rhiannon A"
2023,Fall,2023-fa,HIST,353,European History 1918 to 1939,LCD,7,16,2,1,2,1,0,0,0,0,0,0,0,0,29,"Micale, Mark S"
2023,Fall,2023-fa,HIST,356,Modern Balkans thru Lit & Film,LCD,6,13,4,6,3,1,2,0,0,0,0,0,0,0,35,"Djordjevic, Stefan"
2023,Fall,2023-fa,HIST,365,Fict & Historical Imagination,LCD,0,18,11,4,3,1,0,0,0,0,0,0,1,0,38,"Jaimes, Marco"
2023,Fall,2023-fa,HIST,394,Hidden Political Figures,LCD,7,7,5,3,4,0,1,0,0,0,0,0,1,1,28,"Barrett, Marsha E"
2023,Fall,2023-fa,HIST,462,Soviet Union Since 1917,LCD,0,6,6,5,3,1,0,0,1,0,0,0,1,0,23,"Whittington, Anna M"
2023,Fall,2023-fa,HORT,105,Vegetable Gardening,LEC,64,16,5,4,5,1,0,1,0,0,0,0,0,0,96,"Nelson, Jennifer S"
